n,x,y,z,w,gap,spread
62701,138,132,117,112,12,26
62801,129,128,124,120,3,9
62901,130,130,126,115,4,15
63001,133,128,128,112,7,21
63101,135,130,126,110,9,25
63201,134,134,125,108,8,26
63301,129,128,126,120,3,9
63401,135,126,124,118,9,17
63501,134,130,126,113,8,21
63601,134,131,128,110,7,24
63701,136,130,129,108,9,28
63801,130,128,126,121,3,9
63901,131,130,128,116,4,15
64001,132,132,128,113,5,19
64101,135,134,124,112,8,23
64201,133,132,132,108,6,25
64301,130,129,126,122,3,8
64401,134,131,122,120,7,14
64501,136,136,130,103,9,33
64601,134,132,130,111,6,23
64701,136,132,130,109,8,27
64801,130,130,125,124,2,6
64901,132,132,127,118,4,14
65001,136,132,125,116,8,20
65101,136,131,130,112,8,24
65201,140,139,126,102,12,38
65301,130,129,128,124,2,6
65401,134,130,128,119,6,15
65501,138,128,128,117,10,21
65601,138,134,124,115,9,23
65701,134,134,133,110,5,24
65801,130,129,128,126,1,4
65901,134,131,128,120,5,14
66001,134,133,130,116,5,18
66101,136,135,128,114,7,22
66201,140,134,126,113,11,27
66301,139,136,128,110,10,29
66401,135,132,124,124,6,11
66501,134,134,130,117,5,17
66601,135,134,132,114,5,21
66701,138,133,132,112,8,26
66801,138,136,131,110,8,28
66901,134,131,130,122,4,12
67001,137,134,126,120,7,17
67101,136,134,132,115,6,21
67201,140,136,136,103,10,37
67301,140,134,132,111,10,29
67401,132,132,132,123,2,9
67501,136,136,125,122,6,14
67601,136,135,132,116,5,20
67701,140,137,126,116,9,24
67801,140,136,131,112,9,28
67901,135,130,130,126,4,9
68001,134,134,133,120,3,14
68101,138,138,123,122,7,16
68201,144,130,129,118,13,26
68301,140,139,128,114,9,26
68401,132,132,132,127,1,5
68501,137,132,132,122,6,15
68601,136,135,134,118,5,18
68701,140,134,133,116,8,24
68801,140,138,131,114,8,26
68901,142,137,132,112,10,30
69001,136,136,128,125,4,11
69101,138,136,131,120,6,18
69201,138,138,132,117,6,21
69301,142,134,134,115,10,27
69401,138,138,137,112,6,26
69501,136,134,132,125,4,11
69601,138,138,128,123,6,15
69701,138,138,133,118,5,20
69801,140,139,132,116,7,24
69901,138,138,138,113,5,25
70001,137,132,132,128,4,9
70101,136,136,135,122,3,14
70201,140,140,125,124,7,16
70301,144,142,140,99,11,45
70401,142,141,130,116,9,26
70501,134,134,133,130,1,4
70601,138,135,134,124,5,14
70701,140,140,126,125,7,15
70801,140,139,134,118,6,22
70901,144,140,129,118,10,26
71001,143,140,134,114,9,29
71101,138,135,134,126,4,12
71201,141,138,130,124,7,17
71301,140,138,136,119,6,21
71401,144,141,128,120,10,24
71501,144,138,136,115,10,29
71601,136,136,135,128,2,8
71701,140,137,134,124,6,16
71801,143,138,132,122,9,21
71901,141,140,136,118,6,23
72001,143,140,136,116,8,27
72101,136,135,134,132,1,4
72201,140,137,134,126,5,14
72301,140,139,136,122,5,18
72401,142,141,134,120,7,22
72501,146,140,132,119,11,27
72601,145,142,134,116,10,29
72701,141,136,132,130,6,11
72801,140,140,135,124,5,16
72901,142,140,136,121,6,21
73001,147,136,136,120,11,27
73101,142,141,140,116,6,26
73201,138,138,133,132,2,6
73301,140,140,135,126,4,14
73401,144,140,133,124,8,20
73501,144,139,138,120,8,24
73601,147,142,142,108,11,39
73701,148,143,132,118,12,30
73801,140,139,136,128,4,12
73901,141,140,138,124,5,17
74001,146,140,134,123,9,23
74101,146,145,128,124,9,22
74201,146,144,135,118,9,28
74301,140,138,136,131,3,9
74401,141,140,138,126,4,15
74501,142,142,138,123,5,19
74601,145,144,134,122,8,23
74701,143,142,142,118,6,25
74801,148,142,138,117,11,31
74901,142,140,136,129,5,13
75001,144,142,135,126,7,18
75101,144,141,140,122,6,22
75201,146,142,139,120,8,26
75301,149,146,130,122,11,27
75401,141,140,136,132,3,9
75501,142,142,138,127,4,15
75601,145,140,140,124,7,21
75701,147,142,138,122,9,25
75801,146,146,137,120,8,26
75901,138,138,138,137,0,1
76001,144,139,138,130,6,14
76101,145,140,140,126,7,19
76201,144,144,140,123,5,21
76301,150,144,133,124,11,26
76401,148,144,140,119,9,29
76501,143,140,136,134,4,9
76601,144,141,140,128,5,16
76701,148,140,139,126,9,22
76801,148,145,136,124,9,24
76901,146,144,143,120,7,26
77001,146,145,144,118,7,28
77101,145,142,134,134,6,11
77201,144,144,140,127,5,17
77301,145,144,142,124,5,21
77401,148,143,142,122,8,26
77501,148,146,141,120,8,28
77601,142,141,140,134,2,8
77701,146,142,139,130,6,16
77801,145,144,142,126,5,19
77901,147,146,140,124,7,23
78001,149,146,140,122,9,27
78101,151,144,142,120,11,31
78201,143,142,142,132,3,11
78301,146,146,137,130,6,16
78401,147,146,140,126,6,21
78501,150,145,140,124,9,26
78601,150,150,135,124,9,26
78701,143,142,138,138,2,5
78801,148,142,138,133,7,15
78901,148,143,142,128,7,20
79001,148,144,144,125,7,23
79101,148,148,142,123,7,25
79201,152,152,143,112,11,40
79301,145,144,138,136,4,9
79401,146,144,143,130,5,16
79501,149,146,140,128,8,21
79601,150,148,139,126,8,24
79701,153,146,140,124,11,29
79801,154,151,130,128,12,26
79901,146,146,138,135,4,11
80001,148,146,141,130,6,18
80101,148,148,142,127,6,21
80201,151,150,148,114,9,37
80301,148,148,147,122,6,26
80401,146,142,140,139,4,7
80501,146,145,144,132,4,14
80601,151,144,142,130,9,21
80701,152,149,136,130,9,22
80801,150,147,146,124,7,26
80901,150,149,146,122,7,28
81001,146,145,142,136,3,10
81101,148,147,142,132,5,16
81201,150,149,140,130,7,20
81301,150,147,146,126,7,24
81401,150,150,145,124,7,26
81501,151,150,146,122,8,29
81601,148,144,144,135,5,13
81701,150,149,138,134,7,16
81801,148,148,147,128,4,20
81901,150,150,145,126,6,24
82001,155,150,140,126,11,29
82101,146,144,143,140,2,6
82201,148,146,145,134,4,14
82301,150,148,144,131,6,19
82401,150,149,146,128,6,22
82501,152,152,142,127,8,25
82601,153,150,146,124,9,29
82701,146,146,145,138,2,8
82801,150,147,144,134,6,16
82901,153,148,142,132,9,21
83001,151,150,146,128,6,23
83101,153,150,146,126,8,27
83201,154,150,147,124,9,30
83301,148,148,143,138,3,10
83401,148,148,148,133,3,15
83501,152,150,144,131,7,21
83601,153,148,148,128,8,25
83701,154,150,147,126,9,28
83801,156,152,144,125,11,31
83901,150,146,146,137,5,13
84001,152,151,140,136,7,16
84101,150,150,149,130,4,20
84201,152,152,147,128,6,24
84301,155,154,152,116,9,39
84401,148,145,144,144,2,4
84501,151,150,140,140,5,11
84601,152,148,148,133,6,19
84701,151,150,150,130,5,21
84801,153,152,148,128,7,25
84901,155,150,150,126,9,29
85001,150,146,144,143,4,7
85101,150,149,148,136,4,14
85201,155,148,146,134,9,21
85301,156,153,140,134,9,22
85401,154,151,150,128,7,26
85501,154,153,150,126,7,28
85601,150,148,146,141,3,9
85701,151,150,148,136,4,15
85801,152,152,148,133,5,19
85901,155,154,144,132,8,23
86001,153,152,152,128,6,25
86101,158,152,148,127,11,31
86201,151,150,144,142,4,9
86301,152,150,149,136,5,16
86401,155,152,146,134,8,21
86501,156,154,145,132,8,24
86601,159,152,146,130,11,29
86701,160,157,136,134,12,26
86801,150,150,149,140,2,10
86901,152,151,150,136,4,16
87001,152,152,152,133,4,19
87101,156,152,150,131,8,25
87201,157,156,146,130,9,27
87301,156,156,150,127,8,29
87401,151,150,150,140,3,11
87501,154,154,145,138,6,16
87601,155,154,148,134,7,21
87701,158,153,148,132,9,26
87801,158,158,143,132,9,26
87901,158,157,148,128,9,30
88001,154,150,148,141,5,13
88101,155,154,146,138,6,17
88201,156,153,150,134,7,22
88301,160,156,139,138,11,22
88401,158,156,149,130,9,28
88501,158,158,157,118,9,40
88601,155,152,144,144,6,11
88701,154,154,150,137,5,17
88801,155,154,152,134,6,21
88901,158,153,152,132,8,26
89001,158,156,151,130,8,28
89101,158,157,152,128,8,30
89201,154,152,150,141,4,13
89301,159,152,146,140,9,19
89401,160,152,149,136,10,24
89501,156,155,154,132,6,24
89601,157,156,154,130,7,27
89701,150,150,150,149,0,1
89801,156,151,150,142,6,14
89901,157,152,152,138,7,19
90001,156,156,152,135,5,21
90101,160,159,156,122,9,38
90201,160,156,152,131,9,29
90301,151,150,150,150,0,1
90401,158,150,149,144,7,14
90501,155,154,154,138,4,17
90601,158,158,148,137,7,21
90701,159,158,150,134,8,25
90801,162,158,148,133,11,29
90901,160,160,151,130,9,30
91001,156,154,150,143,5,13
91101,158,156,149,140,7,18
91201,158,155,154,136,7,22
91301,160,156,153,134,8,26
91401,163,160,144,136,11,27
91501,161,158,154,130,9,31
91601,156,156,148,145,4,11
91701,158,156,151,140,6,18
