# Four-square balance gap -- per-n companion table.
# Every n = x^2 + y^2 + z^2 + w^2 with x >= y >= z >= w >= 0 (Lagrange).
# (x,y,z,w) is the most balanced such decomposition (minimal largest part x).
# gap = x - ceil(sqrt(n/4)) = g(n); spread = x - w (context only).
#   Check any row by hand: x*x + y*y + z*z + w*w = n and gap = x - ceil(sqrt(n/4)).
# is_record = 1 where gap exceeds every smaller n (running maximum);
#   best_so_far is that running maximum; record_index counts the records 1,2,3,...
# Illustrative companion to the gap-record-location sequence; generated by
#   src/gap_table.py (engine src/foursquare.py, 'min' mode).
n,x,y,z,w,gap,best_so_far,is_record,record_index,spread
558,14,13,12,7,2,6,0,,7
559,13,13,11,10,1,6,0,,3
560,16,12,12,4,4,6,0,,12
561,14,12,11,10,2,6,0,,4
562,14,14,11,7,2,6,0,,7
563,13,13,12,9,1,6,0,,4
564,15,13,11,7,3,6,0,,8
565,14,12,12,9,2,6,0,,5
566,15,14,9,8,3,6,0,,7
567,14,13,11,9,2,6,0,,5
568,16,14,10,4,4,6,0,,12
569,15,12,10,10,3,6,0,,5
570,14,13,13,6,2,6,0,,8
571,13,13,13,8,1,6,0,,5
572,14,14,12,6,2,6,0,,8
573,14,13,12,8,2,6,0,,6
574,15,13,12,6,3,6,0,,9
575,15,13,10,9,3,6,0,,6
576,12,12,12,12,0,6,0,,0
577,14,14,11,8,1,6,0,,6
578,13,12,12,11,0,6,0,,2
579,15,13,11,8,2,6,0,,7
580,13,13,11,11,0,6,0,,2
581,15,14,12,4,2,6,0,,11
582,13,13,12,10,0,6,0,,3
583,14,13,13,7,1,6,0,,7
584,14,12,12,10,1,6,0,,4
585,14,14,12,7,1,6,0,,7
586,14,13,11,10,1,6,0,,4
587,15,13,12,7,2,6,0,,8
588,13,13,13,9,0,6,0,,4
589,14,14,14,1,1,6,0,,13
590,14,13,12,9,1,6,0,,5
591,15,14,11,7,2,6,0,,8
592,14,14,10,10,1,6,0,,4
593,16,12,12,7,3,6,0,,9
594,14,14,11,9,1,6,0,,5
595,15,15,9,8,2,6,0,,7
596,15,13,11,9,2,6,0,,6
597,14,14,13,6,1,6,0,,8
598,14,13,13,8,1,6,0,,6
599,15,13,13,6,2,6,0,,9
600,14,14,12,8,1,6,0,,6
601,13,12,12,12,0,6,0,,1
602,15,13,12,8,2,6,0,,7
603,13,13,12,11,0,6,0,,2
604,14,14,14,4,1,6,0,,10
605,14,12,12,11,1,6,0,,3
606,15,14,11,8,2,6,0,,7
607,13,13,13,10,0,6,0,,3
608,16,12,12,8,3,6,0,,8
609,14,13,12,10,1,6,0,,4
610,14,14,13,7,1,6,0,,7
611,15,12,11,11,2,6,0,,4
612,15,13,13,7,2,6,0,,8
613,14,14,11,10,1,6,0,,4
614,15,14,12,7,2,6,0,,8
615,14,13,13,9,1,6,0,,5
616,16,14,10,8,3,6,0,,8
617,14,14,12,9,1,6,0,,5
618,15,14,14,1,2,6,0,,14
619,15,13,12,9,2,6,0,,6
620,15,15,11,7,2,6,0,,8
621,15,14,10,10,2,6,0,,5
622,16,14,11,7,3,6,0,,9
623,15,14,11,9,2,6,0,,6
624,14,14,14,6,1,6,0,,8
625,14,14,13,8,1,6,0,,6
626,13,13,12,12,0,6,0,,1
627,15,13,13,8,2,6,0,,7
628,13,13,13,11,0,6,0,,2
629,15,14,12,8,2,6,0,,7
630,14,13,12,11,1,6,0,,3
631,15,15,10,9,2,6,0,,6
632,16,14,12,6,3,6,0,,10
633,15,14,14,4,2,6,0,,11
634,14,13,13,10,1,6,0,,4
635,15,15,11,8,2,6,0,,7
636,14,14,12,10,1,6,0,,4
637,14,14,14,7,1,6,0,,7
638,15,13,12,10,2,6,0,,5
639,15,14,13,7,2,6,0,,8
640,16,16,8,8,3,6,0,,8
641,16,15,12,4,3,6,0,,12
642,14,14,13,9,1,6,0,,5
643,15,15,12,7,2,6,0,,8
644,15,13,13,9,2,6,0,,6
645,16,14,12,7,3,6,0,,9
646,15,14,12,9,2,6,0,,6
647,15,15,14,1,2,6,0,,14
648,16,14,14,0,3,6,0,,16
649,16,14,14,1,3,6,0,,15
650,15,15,10,10,2,6,0,,5
651,13,13,13,12,0,6,0,,1
652,14,14,14,8,1,6,0,,6
653,14,13,12,12,1,6,0,,2
654,15,14,13,8,2,6,0,,7
655,14,13,13,11,1,6,0,,3
656,16,16,12,0,3,6,0,,16
657,14,14,12,11,1,6,0,,3
658,15,15,12,8,2,6,0,,7
659,15,13,12,11,2,6,0,,4
660,16,14,12,8,3,6,0,,8
661,14,14,13,10,1,6,0,,4
662,15,15,14,4,2,6,0,,11
663,15,13,13,10,2,6,0,,5
664,16,14,14,4,3,6,0,,12
665,15,14,12,10,2,6,0,,5
666,15,14,14,7,2,6,0,,8
667,16,13,11,11,3,6,0,,5
668,15,15,13,7,2,6,0,,8
